long,lat,epsg3413_x,epsg3413_y,elevation,id,meters_from_site,inclination_from_site,bearing_from_site
-149.0810386671,61.8960487881,-3011222.5,755307.5,1838.466,105,2368.089,12.70984726,253.19127869
-149.0797818216,61.8938635918,-3011482.5,755302.5,1822.969,106,2458.711,11.91050921,249.48302862
-149.0798042686,61.8939058184,-3011477.5,755302.5,1827.981,107,2456.653,12.032044,249.55457904
-149.0799389524,61.8941591781,-3011447.5,755302.5,1844.200,108,2444.481,12.45318087,249.98337785
-149.0799614,61.8942014048,-3011442.5,755302.5,1847.858,109,2442.482,12.54484246,250.05475841
-149.0799838476,61.8942436314,-3011437.5,755302.5,1851.107,110,2440.492,12.62740419,250.12611387
-149.0796698757,61.8938319559,-3011487.5,755297.5,1819.557,111,2456.228,11.84598505,249.37883706
-149.0796923226,61.8938741825,-3011482.5,755297.5,1822.408,112,2454.158,11.91942177,249.45058155
-149.0795803768,61.8938425466,-3011487.5,755292.5,1819.849,113,2451.680,11.87387376,249.34606813
-149.0794684312,61.8938109105,-3011492.5,755287.5,1818.796,114,2449.220,11.86186636,249.24103563
-149.0793115935,61.893694821,-3011507.5,755282.5,1822.348,115,2451.002,11.93299608,248.99079807
-149.0793340397,61.8937370476,-3011502.5,755282.5,1819.728,116,2448.886,11.8843077,249.06315076
-149.0793564859,61.8937792743,-3011497.5,755282.5,1816.881,117,2446.779,11.83042331,249.13548088
-149.0789976383,61.8932831447,-3011557.5,755277.5,1804.976,118,2468.131,11.46571631,248.23041755
-149.0790200836,61.8933253713,-3011552.5,755277.5,1806.499,119,2465.928,11.50966728,248.30315739
-149.079042529,61.893367598,-3011547.5,755277.5,1808.307,120,2463.734,11.56000563,248.37587691
-149.0791996489,61.8936631846,-3011512.5,755277.5,1824.681,121,2448.603,11.99659172,248.88432545
-149.0787959158,61.8930826015,-3011582.5,755272.5,1795.619,122,2474.801,11.22736849,247.82972228
-149.0788183607,61.8931248282,-3011577.5,755272.5,1797.861,123,2472.553,11.28727552,247.90273466
-149.0788408056,61.8931670548,-3011572.5,755272.5,1798.838,124,2470.314,11.31904477,247.97572787
-149.0788632506,61.8932092815,-3011567.5,755272.5,1799.352,125,2468.083,11.34047383,248.04870169
-149.0788856957,61.8932515081,-3011562.5,755272.5,1802.442,126,2465.860,11.41944793,248.1216559
-149.0789081409,61.8932937348,-3011557.5,755272.5,1804.795,127,2463.645,11.48199769,248.19459025
-149.0789979221,61.8934626415,-3011537.5,755272.5,1812.663,128,2454.868,11.69816665,248.48612458
-149.0790428132,61.8935470948,-3011527.5,755272.5,1819.733,129,2450.528,11.87670143,248.63176673
-149.0790652588,61.8935893215,-3011522.5,755272.5,1822.975,130,2448.371,11.95949935,248.70455575
-149.0790877045,61.8936315482,-3011517.5,755272.5,1824.900,131,2446.222,12.01283124,248.7773231
-149.0784595316,61.8926286983,-3011637.5,755267.5,1801.370,132,2495.629,11.26305882,246.98659357
-149.0784819755,61.892670925,-3011632.5,755267.5,1802.468,133,2493.290,11.2976251,247.05997612
-149.0785044196,61.8927131516,-3011627.5,755267.5,1802.272,134,2490.959,11.30360492,247.1333421
-149.0785268637,61.8927553782,-3011622.5,755267.5,1801.581,135,2488.636,11.29857008,247.20669128
-149.0785493079,61.8927976049,-3011617.5,755267.5,1801.550,136,2486.321,11.308133,247.28002343
-149.0785717521,61.8928398315,-3011612.5,755267.5,1799.427,137,2484.014,11.27127977,247.35333831
-149.0785941964,61.8928820582,-3011607.5,755267.5,1795.952,138,2481.714,11.20426933,247.42663568
-149.0786166408,61.8929242848,-3011602.5,755267.5,1793.260,139,2479.423,11.15449643,247.49991532
-149.0786390852,61.8929665115,-3011597.5,755267.5,1792.544,140,2477.139,11.14858904,247.57317699
-149.0786615298,61.8930087381,-3011592.5,755267.5,1792.255,141,2474.864,11.15214059,247.64642045
-149.0789084242,61.8934732316,-3011537.5,755267.5,1809.659,142,2450.368,11.65168658,248.45083077
-149.0789308695,61.8935154583,-3011532.5,755267.5,1814.054,143,2448.190,11.76038791,248.52383773
-149.0779211742,61.8917947558,-3011737.5,755262.5,1779.254,144,2539.686,10.59123966,245.47335943
-149.0779436167,61.8918369823,-3011732.5,755262.5,1779.081,145,2537.190,10.59764581,245.54719742
-149.0779660592,61.8918792089,-3011727.5,755262.5,1778.375,146,2534.702,10.59238091,245.6210237
-149.078190488,61.892301475,-3011677.5,755262.5,1796.584,147,2510.236,11.09403021,246.35858909
-149.0782129313,61.8923437016,-3011672.5,755262.5,1796.354,148,2507.831,11.09933714,246.43227059
-149.0782353746,61.8923859282,-3011667.5,755262.5,1796.183,149,2505.434,11.10592998,246.50593747
-149.078257818,61.8924281548,-3011662.5,755262.5,1796.392,150,2503.045,11.12088503,246.57958951
-149.0782802615,61.8924703815,-3011657.5,755262.5,1796.961,151,2500.663,11.14375228,246.65322647
-149.0783027051,61.8925126081,-3011652.5,755262.5,1797.311,152,2498.289,11.16181325,246.7268481
-149.0783251487,61.8925548347,-3011647.5,755262.5,1798.277,153,2495.922,11.19347483,246.80045417
-149.0783475924,61.8925970614,-3011642.5,755262.5,1798.844,154,2493.564,11.21632541,246.87404444
-149.077786797,61.8917208918,-3011747.5,755257.5,1783.772,155,2540.377,10.68684421,245.28263279
-149.0778092391,61.8917631184,-3011742.5,755257.5,1783.024,156,2537.863,10.68089358,245.35666807
-149.0778316813,61.891805345,-3011737.5,755257.5,1781.255,157,2535.356,10.65260682,245.43069221
-149.0778990084,61.8919320248,-3011722.5,755257.5,1777.355,158,2527.880,10.59799508,245.65269539
-149.0780336645,61.8921853845,-3011692.5,755257.5,1793.800,159,2513.129,11.02044929,246.09636813
-149.0780561075,61.8922276112,-3011687.5,755257.5,1794.951,160,2510.697,11.0561628,246.1702675
-149.0780785505,61.8922698378,-3011682.5,755257.5,1796.792,161,2508.273,11.10708813,246.24415305
-149.0781009935,61.8923120644,-3011677.5,755257.5,1797.633,162,2505.856,11.13604551,246.31802455
-149.0776524204,61.8916470278,-3011757.5,755252.5,1792.139,163,2541.118,10.8658661,245.0909627
-149.0776748623,61.8916892544,-3011752.5,755252.5,1787.616,164,2538.585,10.77795928,245.16519466
-149.0778319575,61.8919848407,-3011717.5,755252.5,1776.923,165,2521.058,10.61653104,245.68450922
-149.0778543999,61.8920270673,-3011712.5,755252.5,1777.573,166,2518.584,10.6410035,245.75864989
-149.0779217277,61.8921537472,-3011697.5,755252.5,1791.014,167,2511.208,10.96741767,245.9809958
-149.0779441704,61.8921959739,-3011692.5,755252.5,1793.420,168,2508.764,11.03078332,246.05508493
-149.0775180446,61.8915731636,-3011767.5,755247.5,1795.735,169,2541.907,10.94072621,244.89834646
-149.0775404862,61.8916153902,-3011762.5,755247.5,1795.716,170,2539.355,10.95103412,244.97277447
-149.0775629279,61.8916576168,-3011757.5,755247.5,1794.068,171,2536.810,10.92587514,245.04719252
-149.0777873486,61.8920798832,-3011707.5,755247.5,1778.999,172,2511.768,10.70064164,245.79077097
-149.0778097911,61.8921221099,-3011702.5,755247.5,1783.105,173,2509.304,10.80139547,245.86506315
-149.0778322336,61.8921643365,-3011697.5,755247.5,1789.357,174,2506.849,10.9495202,245.9393424
-149.0773836695,61.8914992993,-3011777.5,755242.5,1799.139,175,2542.746,11.01113449,244.70478146
-149.0774061109,61.8915415259,-3011772.5,755242.5,1797.664,176,2540.175,10.98995225,244.77940484
-149.0772268542,61.8913832082,-3011792.5,755237.5,1806.214,177,2546.230,11.14976072,244.43543858
-149.0772492952,61.8914254348,-3011787.5,755237.5,1804.654,178,2543.633,11.12703587,244.51026512
-149.0772717362,61.8914676615,-3011782.5,755237.5,1802.417,179,2541.044,11.08951749,244.58508318
-149.0766885596,61.8905492645,-3011892.5,755232.5,1830.338,180,2595.463,11.45586041,242.88836892
-149.0767109991,61.8905914911,-3011887.5,755232.5,1828.015,181,2592.722,11.41834931,242.96348603
-149.0767334387,61.8906337177,-3011882.5,755232.5,1825.892,182,2589.989,11.38494764,243.03859993
-149.0767558783,61.8906759443,-3011877.5,755232.5,1824.433,183,2587.262,11.36558183,243.11371036
-149.0767783179,61.8907181709,-3011872.5,755232.5,1823.390,184,2584.542,11.35501133,243.18881706
-149.0769129575,61.8909715305,-3011842.5,755232.5,1821.248,185,2568.365,11.37873738,243.63936454
-149.0769353977,61.8910137572,-3011837.5,755232.5,1819.744,186,2565.693,11.35799696,243.71443793
-149.0769578379,61.8910559838,-3011832.5,755232.5,1818.424,187,2563.028,11.34114414,243.78950552
-149.0769802782,61.8910982104,-3011827.5,755232.5,1817.936,188,2560.370,11.34211111,243.86456707
-149.0770027186,61.891140437,-3011822.5,755232.5,1816.430,189,2557.719,11.32112449,243.93962231
-149.0770251591,61.8911826637,-3011817.5,755232.5,1813.736,190,2555.075,11.27444693,244.01467099
-149.0770475996,61.8912248903,-3011812.5,755232.5,1812.161,191,2552.438,11.25177886,244.08971284
-149.0770700402,61.891267117,-3011807.5,755232.5,1811.178,192,2549.808,11.24185218,244.16474763
-149.0770924808,61.8913093436,-3011802.5,755232.5,1810.276,193,2547.185,11.233612,244.23977508
-149.0771149216,61.8913515702,-3011797.5,755232.5,1809.484,194,2544.570,11.22769847,244.31479494
-149.0771373624,61.8913937969,-3011792.5,755232.5,1808.448,195,2541.961,11.21646835,244.38980695
-149.0801899647,61.897136653,-3011112.5,755232.5,1804.681,196,2263.385,12.46462093,254.412849
-149.0765766311,61.8905176262,-3011897.5,755227.5,1833.279,197,2594.036,11.52437341,242.76369341
-149.0765990704,61.8905598528,-3011892.5,755227.5,1831.983,198,2591.284,11.5087805,242.83898868
-149.0767112678,61.8907709859,-3011867.5,755227.5,1822.970,199,2577.628,11.37569554,243.2154179
-149.0767337075,61.8908132125,-3011862.5,755227.5,1822.953,200,2574.917,11.38700947,243.2906925
-149.0767561472,61.8908554391,-3011857.5,755227.5,1823.816,201,2572.213,11.41712578,243.36596274
-149.0767785871,61.8908976657,-3011852.5,755227.5,1824.486,202,2569.516,11.44314308,243.44122836
-149.076801027,61.8909398924,-3011847.5,755227.5,1824.144,203,2566.825,11.44748822,243.51648911
-149.0800780048,61.897105017,-3011117.5,755227.5,1805.598,204,2260.024,12.50474392,254.31967137
-149.0801229052,61.8971894713,-3011107.5,755227.5,1801.538,205,2257.171,12.4217956,254.46337731
-149.0764647029,61.8904859878,-3011902.5,755222.5,1831.017,206,2592.628,11.48248478,242.63843378
-149.0764871419,61.8905282144,-3011897.5,755222.5,1832.601,207,2589.865,11.52805249,242.71390734
-149.0799660451,61.8970733809,-3011122.5,755222.5,1805.305,208,2256.680,12.51558672,254.22599571
-149.0799884951,61.8971156081,-3011117.5,755222.5,1805.693,209,2255.235,12.5327608,254.29808609
-149.0763303361,61.8904121226,-3011912.5,755217.5,1828.492,210,2594.019,11.42291756,242.43693349
-149.0763527749,61.8904543493,-3011907.5,755217.5,1829.465,211,2591.238,11.45551236,242.51258713
-149.079831636,61.8969995176,-3011132.5,755217.5,1806.936,212,2254.821,12.56507347,254.05947038
-149.0798540857,61.8970417448,-3011127.5,755217.5,1806.669,213,2253.353,12.56653545,254.13181852
